PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,18:07:50.20,1,1,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.76301,-1.983604,-4.730065,1950.327762,246.951848,2:15,5.4436,3.03855,6.13553,-25.4182,8.0267,16.58792,1.48511,0.03925,83.87777,-6.702453,-1.750027,0.416233,,,,,,,,,,,,-9.7443,4.94532,-2.68529,50,5.27841,10.20692,-131.58522,-5.41709,-17.2731,25.03572,-23.40782,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,2a6d1f30-ee21-11ee-9535-9125a4c665b8,90.55614,,,6.88523,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:07:50.20,2024-03-29T18:07:50.2003130-05:00,2024-03-29T23:07:50.2003130Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,d0f5cc61-9228-4651-9f7e-2109b4a69028,54.36548,-132.41321,12.51786,5.44476,-4.64294,-11.70391,-3.0323,10.77817,-8.63655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-29,18:08:05.49,1,2,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.93732,2.245558,-2.187501,1739.276476,80.113997,8:45,5.35789,2.97682,5.75225,-50.60341,-0.03913,-9.93571,3.23397,0.11147,68.18966,-7.073155,-3.962945,0.511792,,,,,,,,,,,,4.34859,-0.1474,-2.78926,50,5.51409,4.51706,-108.61532,2.69937,5.14242,20.8156,-32.34835,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,338527c0-ee21-11ee-9535-9125a4c665b8,73.64798,,,6.74766,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:08:05.49,2024-03-29T18:08:05.4986682-05:00,2024-03-29T23:08:05.4986682Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,1c221ac5-f6bd-40dc-b25a-99ac858e9146,54.74538,-109.52097,10.4078,5.36603,4.1068,-16.17417,-2.98092,4.29332,2.57121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-29,18:08:20.99,1,3,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.50057,-1.052195,-6.009211,1974.93252,249.451531,2:15,5.40255,3.06171,6.01604,-26.16812,6.94036,15.9919,2.24171,-1.19256,84.52467,-5.892954,-3.154273,0.414134,,,,,,,,,,,,-9.65008,4.12847,-2.59752,50,5.30524,13.26176,-132.42897,-3.34901,-17.36491,24.75761,-24.74502,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,3cb80b50-ee21-11ee-9535-9125a4c665b8,91.01506,,,6.97589,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:08:20.99,2024-03-29T18:08:20.9977274-05:00,2024-03-29T23:08:20.9977274Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,45c257c0-041a-4261-b11e-5da45d6690bb,54.48476,-133.26476,12.37881,5.4042,-2.51365,-12.37251,-3.05512,13.84797,-8.68245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-29,18:08:38.38,1,4,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.26451,-0.688204,-6.711705,1940.376992,252.167897,2:30,5.48897,3.03422,5.70473,-26.34895,6.75477,17.95525,2.64754,-1.7519,84.9061,-5.538383,-3.532191,0.414104,,,,,,,,,,,,-10.77158,3.90729,-2.48047,50,5.41442,14.88677,-133.29002,-2.57645,-19.59432,25.65746,-25.06639,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,471d2d50-ee21-11ee-9535-9125a4c665b8,91.02161,,,7.35841,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:08:38.38,2024-03-29T18:08:38.3869882-05:00,2024-03-29T23:08:38.3869882Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,be05d46b-96ad-4306-addc-bfc7a0e56929,54.79625,-134.2101,12.82873,5.49069,-1.67758,-12.5332,-3.02691,15.58942,-9.79716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-29,18:08:53.90,1,5,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.29527,0.716751,-3.232605,1734.441296,73.915837,8:30,5.37096,3.02158,5.7028,-51.68255,-0.75335,-9.28843,1.73303,-0.76774,67.88833,-8.787781,-4.890382,0.513635,,,,,,,,,,,,3.59744,-0.13213,-2.74429,50,5.39921,6.49378,-108.96502,-0.22903,4.21287,23.78025,-32.32879,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,50640e10-ee21-11ee-9535-9125a4c665b8,73.38368,,,7.40694,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:08:53.90,2024-03-29T18:08:53.9088826-05:00,2024-03-29T23:08:53.9088826Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,ebc861e5-5e36-40e2-9354-4faea1c4baf7,54.79484,-110.00646,11.89013,5.37824,1.18678,-16.1644,-3.02465,6.30928,2.10644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-29,18:09:15.55,1,6,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.05845,-1.713102,-7.83496,2073.763548,274.431236,3:15,5.09491,3.2558,5.9394,-45.98908,-0.28835,19.64572,-0.34213,-2.42082,73.0714,-10.057218,-4.345529,0.486556,,,,,,,,,,,,-11.96764,0.53646,-2.63901,50,4.93029,14.81839,-112.62637,-4.8119,-15.66833,16.75747,-31.4717,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,5d546ed0-ee21-11ee-9535-9125a4c665b8,77.46778,,,4.98704,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:09:15.55,2024-03-29T18:09:15.5531706-05:00,2024-03-29T23:09:15.5531706Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,f5d28690-c3d1-4ab5-b20c-f16d211c1cb9,54.56507,-113.30356,8.37873,5.09905,-3.54009,-15.73585,-3.25063,15.45156,-7.83416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-29,18:09:37.67,1,7,"Campa, Iain",822837,Right,ABI_WIL,"Dickinson, Daniel",1000248726,Right,UTA_WOL,Undefined,1,Top,0,3,2,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,74.33251,3.003821,-1.736617,1605.754488,81.09769,8:45,5.15505,2.91945,5.77945,-50.89022,0.14677,-9.33745,3.71294,0.525,67.91871,-6.367115,-3.405826,0.514178,,,,,,,,,,,,4.22843,-0.25461,-2.77057,50,5.37285,3.60804,-107.78193,4.10764,4.95775,19.30603,-32.47256,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,6a74e040-ee21-11ee-9535-9125a4c665b8,73.30614,,,6.41381,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:09:37.67,2024-03-29T18:09:37.6706490-05:00,2024-03-29T23:09:37.6706490Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,b450595b-dd44-4803-b17a-83100cc5283f,54.71916,-108.62394,9.65302,5.16282,5.5239,-16.23628,-2.92322,3.39181,2.47887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,18:10:30.39,2,1,"Campa, Iain",822837,Right,ABI_WIL,"Smith, Jayden",823660,Right,UTA_WOL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.80569,-0.95947,-5.788319,2060.265892,244.72827,2:15,5.36956,3.23832,5.82543,-24.9582,8.87296,16.74367,2.39309,-0.76582,83.84579,-5.574172,-2.808083,0.41863,,,,,,,,,,,,-9.93233,5.06701,-2.77374,50,5.27588,12.60498,-131.44767,-3.08168,-17.61255,24.33711,-23.18896,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,89e34b10-ee21-11ee-9535-9125a4c665b8,90.0377,,,6.95991,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:10:30.39,2024-03-29T18:10:30.3943610-05:00,2024-03-29T23:10:30.3943610Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,d68af531-462e-4fd8-871b-5671b87e6dbd,54.67547,-132.31048,12.16855,5.37055,-2.25956,-11.59448,-3.23169,13.2294,-8.80627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-29,18:10:49.22,2,2,"Campa, Iain",822837,Right,ABI_WIL,"Smith, Jayden",823660,Right,UTA_WOL,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.95601,0.328903,-7.187765,1989.167735,262.400691,2:45,5.39053,3.24101,5.88402,-31.02443,3.51177,18.93288,3.11301,-1.89118,82.97899,-5.369252,-3.829791,0.422969,,,,,,,,,,,,-11.3876,2.02807,-2.66903,50,5.39919,15.58454,-129.92161,-0.34976,-19.74425,23.54933,-28.65768,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,951dbe70-ee21-11ee-9535-9125a4c665b8,89.11392,,,6.97702,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:10:49.22,2024-03-29T18:10:49.2208570-05:00,2024-03-29T23:10:49.2208570Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,613b0178-1d59-413a-a639-f5db779a7a3d,54.61795,-130.75597,11.77467,5.3936,0.66559,-14.32884,-3.23359,16.28409,-9.87212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-29,18:11:46.98,2,3,"Campa, Iain",822837,Right,ABI_WIL,"Smith, Jayden",823660,Right,UTA_WOL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.77002,1.672916,-3.41654,1796.473602,85.578698,8:45,5.21799,3.06566,5.35504,-52.20302,0.58677,-13.94253,2.43993,-1.30423,67.68378,-7.826074,-5.884005,0.522934,,,,,,,,,,,,5.97827,0.33559,-2.74794,50,5.33171,6.90186,-106.84953,1.4555,6.87712,19.2615,-31.78801,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,b7878ef0-ee21-11ee-9535-9125a4c665b8,72.07884,,,6.08624,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:11:46.98,2024-03-29T18:11:46.9879226-05:00,2024-03-29T23:11:46.9879226Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,3df5759b-4d45-4432-8f3a-2f8aee33adfc,55.14402,-107.77284,9.63075,5.22542,2.97928,-15.894,-3.07088,6.5722,3.43856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2024-03-29,18:12:05.11,2,4,"Campa, Iain",822837,Right,ABI_WIL,"Smith, Jayden",823660,Right,UTA_WOL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.97064,0.956531,-4.977865,1759.363778,86.802747,9:00,5.20904,3.30409,5.82101,-51.45341,1.0498,-14.52772,1.81401,-2.54625,67.16284,-8.488943,-7.560876,0.521512,,,,,,,,,,,,5.68969,0.81913,-2.88761,50,5.25782,9.83295,-106.86869,0.25497,6.44739,21.87925,-31.24585,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,c26674d0-ee21-11ee-9535-9125a4c665b8,72.2753,,,6.8078,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:12:05.11,2024-03-29T18:12:05.1167674-05:00,2024-03-29T23:12:05.1167674Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,58c00a16-1f25-4419-9e4a-f28507a71f5d,54.67565,-107.82169,10.93963,5.21708,1.61595,-15.62292,-3.30979,9.55212,3.22369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2024-03-29,18:12:27.82,2,5,"Campa, Iain",822837,Right,ABI_WIL,"Smith, Jayden",823660,Right,UTA_WOL,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,73.77432,0.828359,-2.470707,1713.954843,85.977308,8:45,5.20839,3.16813,5.77657,-51.09404,0.95098,-11.03914,1.72211,-0.0522,67.47934,-8.555439,-4.445715,0.519231,,,,,,,,,,,,4.85063,0.78311,-2.95743,50,5.24638,5.01286,-106.99675,0.0103,5.56852,20.13587,-31.27504,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,cff49c30-ee21-11ee-9535-9125a4c665b8,72.59275,,,6.29498,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:12:27.82,2024-03-29T18:12:27.8273466-05:00,2024-03-29T23:12:27.8273466Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,06def9d2-de7f-41c1-8bf5-27e7b3498da2,54.72162,-107.88165,10.06794,5.21573,1.38474,-15.63752,-3.17235,4.76815,2.78426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2024-03-29,18:13:20.83,3,1,"Campa, Iain",822837,Right,ABI_WIL,"Camper, Burke",1000051293,Right,UTA_WOL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.60585,-1.261876,-5.899748,1997.264114,253.139813,2:30,5.40043,3.29602,5.90092,-27.27462,7.44682,21.20013,1.94969,-0.43363,82.62256,-6.303542,-2.11886,0.424102,,,,,,,,,,,,-12.32351,4.43953,-2.83237,50,5.28266,12.51431,-129.68897,-3.80852,-21.22256,24.28823,-24.52864,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,ef72be70-ee21-11ee-9535-9125a4c665b8,88.87585,,,6.98328,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:13:20.83,2024-03-29T18:13:20.8313274-05:00,2024-03-29T23:13:20.8313274Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,cf1d4658-564b-4dd8-869c-71c3484f448f,54.60092,-130.54779,12.14412,5.40199,-2.9412,-12.26432,-3.28814,13.26473,-10.61128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2024-03-29,18:13:39.77,3,2,"Campa, Iain",822837,Right,ABI_WIL,"Camper, Burke",1000051293,Right,UTA_WOL,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.25116,0.244299,-5.074982,1932.665936,245.502218,2:15,5.37618,3.28141,5.8765,-26.89045,7.95331,15.31178,3.3631,-0.16836,82.4246,-4.729777,-2.342821,0.424848,,,,,,,,,,,,-9.03552,4.32067,-2.87908,50,5.3803,10.84621,-129.37756,-0.36792,-15.53008,23.43711,-24.74779,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,fabce940-ee21-11ee-9535-9125a4c665b8,88.7198,,,6.82656,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:13:39.77,2024-03-29T18:13:39.7771706-05:00,2024-03-29T23:13:39.7771706Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,82bef6f7-57d9-49ed-9005-aeb3c63338fa,54.62426,-130.21257,11.71855,5.3777,0.51378,-12.37389,-3.27536,11.39951,-7.76504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2024-03-29,18:13:59.32,3,3,"Campa, Iain",822837,Right,ABI_WIL,"Camper, Burke",1000051293,Right,UTA_WOL,Undefined,1,Top,1,0,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.73549,-0.481964,-6.09934,2029.014644,253.484243,2:30,5.56262,2.93906,5.88042,-26.23919,6.66339,19.49907,2.92588,-1.12187,85.12623,-5.316702,-2.627279,0.412845,,,,,,,,,,,,-11.33898,3.79929,-2.45607,50,5.50809,13.36176,-132.84706,-2.05599,-20.66669,23.15259,-25.24937,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,06620550-ee22-11ee-9535-9125a4c665b8,91.29935,,,6.60926,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:13:59.32,2024-03-29T18:13:59.3224122-05:00,2024-03-29T23:13:59.3224122Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,c7707ff2-f9fb-456c-b578-dc0311b9a3ef,54.62201,-133.65016,11.5763,5.56422,-1.18016,-12.62469,-2.93199,14.07863,-10.33335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2024-03-29,18:14:32.41,4,1,"Campa, Iain",822837,Right,ABI_WIL,"Halvorson, Calyn",1000132003,Right,UTA_WOL,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.60065,0.828892,-5.02462,2024.633813,266.586234,3:00,5.38388,3.32521,5.5597,-31.46628,2.02504,18.14556,3.53915,0.13087,84.51511,-4.925523,-1.804395,0.416521,,,,,,,,,,,,-10.35686,1.12882,-2.90245,50,5.43485,10.85252,-132.74714,0.71726,-18.73153,24.80323,-30.13248,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,1a1c11d0-ee22-11ee-9535-9125a4c665b8,90.49339,,,7.08554,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:14:32.41,2024-03-29T18:14:32.4182970-05:00,2024-03-29T23:14:32.4182970Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,fa47360a-f8ff-47a6-8405-11ee1e878257,54.94195,-133.66734,12.40161,5.3875,1.83517,-15.06624,-3.31797,11.54746,-9.36577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,2024-03-29,18:15:05.21,4,2,"Campa, Iain",822837,Right,ABI_WIL,"Halvorson, Calyn",1000132003,Right,UTA_WOL,Undefined,1,Top,2,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.10093,-0.382302,-5.711895,2043.715663,235.903264,1:45,5.50025,3.30157,5.72075,-22.65891,10.93229,14.8017,3.25412,-0.80311,84.38002,-4.57283,-3.083552,0.417142,,,,,,,,,,,,-8.83233,5.93898,-2.83219,50,5.45402,12.55459,-131.93817,-1.67495,-15.85154,23.29297,-21.51529,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,2db3f050-ee22-11ee-9535-9125a4c665b8,90.35872,,,6.72091,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:15:05.21,2024-03-29T18:15:05.2128698-05:00,2024-03-29T23:15:05.2128698Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,772a26ce-35d8-4993-9afc-35be658d6c55,54.78034,-132.77943,11.64649,5.50048,-0.89789,-10.75764,-3.29595,13.1271,-7.92577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
18,2024-03-29,18:15:22.91,4,3,"Campa, Iain",822837,Right,ABI_WIL,"Halvorson, Calyn",1000132003,Right,UTA_WOL,Undefined,1,Top,2,2,0,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,74.42588,1.899931,-3.271578,1831.774378,73.160526,8:30,5.28467,3.20541,5.24127,-53.78314,-1.53681,-10.73115,2.59194,-0.76695,67.99624,-7.873583,-5.167812,0.520235,81.66731,-4.777437,-22.62986,,,,,28.0257,28.0257,-20.296575,0.215663,4.41559,-0.92413,-2.89594,50,5.41932,6.56175,-107.76734,1.82672,5.147,20.27047,-33.25128,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,383b4050-ee22-11ee-9535-9125a4c665b8,72.45275,2.74303,,6.42964,,,,3.22052,2.74303,0.59661,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:15:22.91,2024-03-29T18:15:22.9160890-05:00,2024-03-29T23:15:22.9160890Z,GroundBall,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,d9849eea-0524-42cf-83af-aaa95d663c3c,55.25908,-108.75204,10.13524,5.29135,3.44201,-16.62564,-3.20862,6.31172,2.5735,96.791983,3.22098,110.14439,-14.83299,,,,,,,2.74327,-9.99045,-12.66438,,,,,,,0.5975,-45.98239,-8.6699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
19,2024-03-29,18:16:04.17,5,1,"Campa, Iain",822837,Right,ABI_WIL,"Bach, Nate",823659,Right,UTA_WOL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.29288,-0.19948,-7.330073,1951.63255,268.358499,3:00,5.08885,3.23213,5.90202,-44.77955,1.87268,20.03096,1.17052,-1.94053,71.89509,-8.371464,-3.772791,0.491595,,,,,,,,,,,,-11.963,1.41118,-2.65141,50,5.04671,13.64379,-111.64608,-1.76993,-15.35508,16.91327,-30.3627,ABI_WIL,UTA_WOL,AbileneChristian,D1,WAC,20240329-AbileneChristian-1,50dc07c0-ee22-11ee-9535-9125a4c665b8,76.67376,,,5.39779,,,,,,,5dfea5df-2129-4a91-904b-b623d6d9f0ae,2024-03-29,23:16:04.17,2024-03-29T18:16:04.1783226-05:00,2024-03-29T23:16:04.1783226Z,,v3,471223,471519,29 March 2024 19:05-utvalley@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,4681ef4f-ee3c-4d93-ab3b-28b5b1024d4b,54.60099,-112.34092,8.45663,5.0938,-0.52255,-15.18135,-3.22489,14.27461,-7.67754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
