PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-24,12:02:03.24,1,1,"Woodward, Jarek",1000100491,Right,SEA_RED,"He, Ethan",823451,Right,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,89.06038,-3.151132,-2.313483,2105.108741,208.784854,1:00,6.65253,1.27332,6.0826,-19.32096,15.88005,8.07851,2.12189,-0.19493,81.28508,-6.801312,-0.858939,0.427021,96.60103,7.089151,32.2471,4215.455628,87.89068,6.00666,66.14486,155.4039,114.43551,39.11313,1.330629,-4.84654,9.46323,-1.09887,50,6.39858,4.88581,-129.10548,-7.68376,-8.14597,27.92832,-16.26841,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,07b99310-ea11-11ee-a856-532492b4c49a,88.26841,7.15111,,7.7753,,,,0.49697,2.00668,0.17473,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:02:03.24,2024-03-24T12:02:03.2410756-07:00,2024-03-24T19:02:03.2410756Z,GroundBall,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,f9407be1-f2ae-48b6-9d64-e37b792a5062,54.41486,-130.057,13.96416,6.65093,-7.12949,-8.13421,-1.27006,5.16335,-4.07299,254.59767,0.49696,118.91295,-27.43285,5.85372,-1.574,0.5442,-0.11035,-0.03536,0.0174,2.00669,17.48447,-15.42077,0.99042,0.00839,-0.16608,0.06505,0.01186,-0.00855,0.17475,75.01714,-0.25729,-1.12206,0.80302,-0.57432,0.19375,0.0163,-0.01793,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-24,12:02:27.37,2,1,"Woodward, Jarek",1000100491,Right,SEA_RED,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.31766,-1.866627,-1.533805,2093.670667,202.299893,12:45,6.52586,1.48114,5.91532,-20.26678,14.98997,5.65453,3.10339,0.52855,81.14942,-5.69442,-0.518423,0.427359,,,,,,,,,,,,-3.33213,8.58434,-1.36131,50,6.36471,3.22397,-129.54551,-4.84695,-5.62183,28.87695,-17.69094,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,161c2170-ea11-11ee-a856-532492b4c49a,88.1986,,,8.16824,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:02:27.37,2024-03-24T12:02:27.3752708-07:00,2024-03-24T19:02:27.3752708Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,bfae8245-99fe-43b5-9d0c-104e44098055,54.57959,-130.56235,14.43847,6.52442,-4.224,-8.84547,-1.47832,3.42193,-2.81092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-24,12:02:40.73,2,2,"Woodward, Jarek",1000100491,Right,SEA_RED,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.39993,-2.209515,-1.726515,2146.153015,232.770767,1:45,6.49568,1.41492,6.01245,-24.58804,10.36245,12.12489,2.39792,0.82546,81.65362,-6.800762,0.456203,0.425498,,,,,,,,,,,,-6.70559,6.32252,-1.28585,50,6.30888,3.39804,-129.72582,-5.80899,-11.38254,28.123,-21.44179,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,1e04f8d0-ea11-11ee-a856-532492b4c49a,88.5842,,,7.74631,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:02:40.73,2024-03-24T12:02:40.7332484-07:00,2024-03-24T19:02:40.7332484Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,28835b68-eb67-46f4-be7d-ac834e751c84,54.48437,-130.69436,14.0615,6.49622,-5.07054,-10.7209,-1.40963,3.79005,-5.69127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-24,12:02:55.66,2,3,"Woodward, Jarek",1000100491,Right,SEA_RED,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.15742,-0.96602,-1.782173,2257.701391,213.606802,1:00,6.65833,1.46827,5.96095,-20.99946,14.05828,8.60272,4.0121,0.53209,81.47599,-4.920904,-0.236489,0.426151,,,,,,,,,,,,-4.88217,7.81678,-1.33147,50,6.5699,3.66158,-129.45951,-2.83809,-8.28518,27.03708,-18.90882,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,26f18490-ea11-11ee-a856-532492b4c49a,88.44857,,,7.68144,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:02:55.66,2024-03-24T12:02:55.6613252-07:00,2024-03-24T19:02:55.6613252Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,97e67e06-ed58-48c4-8ccc-d918bf222638,54.53535,-130.40326,13.51854,6.65745,-2.17806,-9.45441,-1.46432,3.95078,-4.14259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-24,12:03:11.17,2,4,"Woodward, Jarek",1000100491,Right,SEA_RED,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.44784,-3.277995,-2.963832,2167.663185,210.267806,1:00,6.49016,1.35841,5.91657,-19.23954,15.03454,8.12556,1.83736,-0.71747,82.8006,-6.889706,-1.506575,0.421361,,,,,,,,,,,,-5.0178,8.97138,-1.12553,50,6.21606,6.44491,-131.05338,-8.1202,-8.72136,27.85352,-16.58103,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,3034bbd0-ea11-11ee-a856-532492b4c49a,89.45403,,,7.64723,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:03:11.17,2024-03-24T12:03:11.1737476-07:00,2024-03-24T19:03:11.1737476Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,7ebbb754-0615-4d59-bbaa-f418eb5e5e12,54.58183,-132.02359,13.92676,6.48885,-7.54264,-8.29052,-1.35532,6.7487,-4.36068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-24,12:03:29.56,2,5,"Woodward, Jarek",1000100491,Right,SEA_RED,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.53952,-2.190455,-2.518069,2262.378425,201.807737,12:45,6.64479,1.06438,5.92112,-15.77375,18.46166,6.93059,3.2947,-0.69624,82.43544,-5.204149,-1.275031,0.421123,64.26507,78.267264,-35.762761,,,,,,15.61947,,,-4.29154,10.44666,-0.86674,50,6.46039,5.47939,-131.29438,-5.47895,-7.45957,28.89046,-14.01558,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,3b2d9250-ea11-11ee-a856-532492b4c49a,89.50457,75.00349,,8.10408,,,,1.21993,3.27675,0.70061,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:03:29.56,2024-03-24T12:03:29.5674500-07:00,2024-03-24T19:03:29.5674500Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,19e6df7f-199f-45be-8842-3e296eeb0f25,54.57624,-132.29752,14.44523,6.64218,-4.9923,-7.00779,-1.06149,5.7384,-3.72979,,1.21993,15.55254,-9.6377,1.56707,-0.327,0.05738,-0.01205,0.00219,-0.00021,3.27675,92.28599,-22.53626,2.17367,-0.45428,0.09187,-0.01678,0.00323,-0.00037,0.70061,-11.20149,-2.85228,0.31701,-0.07033,0.00987,-0.00259,0.00042,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2024-03-24,12:04:02.31,3,1,"Woodward, Jarek",1000100491,Right,SEA_RED,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.74917,-0.918513,-2.125329,2286.722541,219.443543,1:15,6.63179,1.25935,5.96437,-21.18568,13.54442,10.20182,4.01401,0.13798,81.70638,-4.913269,-0.292655,0.424155,,,,,,,,,,,,-5.81685,7.55508,-1.09628,50,6.54714,4.39507,-130.25124,-2.75495,-9.95346,28.36682,-19.24628,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,4eaabce0-ea11-11ee-a856-532492b4c49a,88.86483,,,8.04279,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:04:02.31,2024-03-24T12:04:02.3170692-07:00,2024-03-24T19:04:02.3170692Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,394d8a94-6b0a-4926-bbf9-07d38808b1b5,54.53168,-131.23446,14.18341,6.63107,-2.08785,-9.62314,-1.2546,4.74006,-4.97673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-24,12:04:15.41,3,2,"Woodward, Jarek",1000100491,Right,SEA_RED,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,2,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.08462,0.898596,-0.406437,2159.443256,49.833341,7:45,6.55619,1.17058,5.48057,-46.30688,-0.69476,-2.60725,3.53815,0.57302,72.18367,-7.577311,-0.871413,0.486084,,,,,,,,,,,,1.18587,-0.11988,-1.13315,50,6.60384,0.91877,-114.76169,0.22212,1.57105,22.54954,-32.33289,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,567eacb0-ea11-11ee-a856-532492b4c49a,77.54302,,,6.90095,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:04:15.41,2024-03-24T12:04:15.4138244-07:00,2024-03-24T19:04:15.4138244Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,53fb60ad-8450-4db6-9307-580da5b649a4,55.01643,-115.74317,11.27477,6.56354,1.62943,-16.16645,-1.17165,0.85039,0.78552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-24,12:04:29.90,3,3,"Woodward, Jarek",1000100491,Right,SEA_RED,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,2,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.69129,-1.577808,-1.32789,2283.627952,28.808057,7:00,6.60693,1.13815,5.07173,-49.98774,-4.01508,-3.08862,0.95298,-0.37138,72.81238,-10.587247,-1.875808,0.488002,,,,,,,,,,,,1.11795,-1.05913,-1.00961,50,6.41761,2.80368,-115.45761,-4.99206,1.48781,24.32109,-33.58358,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,5f2332f0-ea11-11ee-a856-532492b4c49a,77.23836,,,6.87891,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:04:29.90,2024-03-24T12:04:29.9067524-07:00,2024-03-24T19:04:29.9067524Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,d8e58a4f-ccfe-4081-b8ac-ac2836e49797,55.42652,-116.5951,12.16055,6.61435,-3.42137,-16.79179,-1.13911,2.7341,0.74391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-24,12:04:45.80,3,4,"Woodward, Jarek",1000100491,Right,SEA_RED,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,2,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.28931,-2.738926,-2.201878,2219.347642,206.691372,1:00,6.60985,0.93313,5.97628,-15.64851,19.00564,8.92619,2.76303,-0.36516,81.57632,-5.748913,-0.598371,0.423691,84.64705,15.949221,-10.711623,1553.43296,108.30589,24.35157,-19.22821,261.744,258.87063,-10.154603,2.866467,-5.30402,11.00851,-0.76401,50,6.38451,4.65395,-130.81725,-6.69509,-9.06819,31.04397,-13.35291,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,6897b360-ea11-11ee-a856-532492b4c49a,88.96214,25.77913,,8.713,,,,2.13356,2.85872,0.36217,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:04:45.80,2024-03-24T12:04:45.8023044-07:00,2024-03-24T19:04:45.8023044Z,LineDrive,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,5d41bd62-a2a4-4f60-b723-e8bca156d389,54.52063,-131.88567,15.52199,6.60702,-6.23553,-6.67646,-0.92955,4.96604,-4.53409,185.777662,2.13362,117.28716,-15.44614,3.01278,-0.49388,0.02983,0.01617,-0.00555,0.00059,2.85865,34.11706,-13.03885,0.27005,-0.0577,0.06434,-0.03129,0.00784,-0.00078,0.36217,-22.18659,3.69268,-0.96155,0.22295,-0.04219,0.00574,-0.00045,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
11,2024-03-24,12:05:22.30,4,1,"Woodward, Jarek",1000100491,Right,SEA_RED,"Dodson, Hank",823520,Right,DIX_STE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.05208,-1.324374,-1.184394,2182.020146,201.563303,12:45,6.73382,1.35374,5.67824,-14.13808,20.90013,7.77855,4.32059,0.8977,81.48053,-4.055543,0.205796,0.426032,,,,,,,,,,,,-4.26386,11.318,-1.25868,50,6.61339,2.34611,-130.57799,-3.39548,-7.29756,29.73447,-12.80335,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,7e53aa60-ea11-11ee-a856-532492b4c49a,88.47324,,,8.57155,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:05:22.30,2024-03-24T12:05:22.3069316-07:00,2024-03-24T19:05:22.3069316Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,021be1ec-2c84-40f1-81f3-0d60f8e9f920,54.81576,-131.67004,14.86724,6.72946,-2.92525,-6.40168,-1.34977,2.61412,-3.64878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2024-03-24,12:05:37.00,4,2,"Woodward, Jarek",1000100491,Right,SEA_RED,"Dodson, Hank",823520,Right,DIX_STE,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.3534,-2.307807,-1.141424,2105.322865,206.952242,1:00,6.65817,1.44304,6.17551,-18.07359,16.85005,7.95441,3.01916,1.05164,81.10587,-5.758151,0.294283,0.425335,,,,,,,,,,,,-4.43299,9.75981,-1.36052,50,6.47432,2.25037,-129.63083,-5.72842,-7.47721,29.30914,-15.71192,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,8717c690-ea11-11ee-a856-532492b4c49a,88.61822,,,8.24754,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:05:37.00,2024-03-24T12:05:37.0092676-07:00,2024-03-24T19:05:37.0092676Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,b9bf9152-9349-48fe-9c1c-bc14cbe23e65,54.31973,-130.60386,14.65457,6.65584,-5.2068,-7.85596,-1.43935,2.4986,-3.73861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2024-03-24,12:06:50.97,4,3,"Woodward, Jarek",1000100491,Right,SEA_RED,"Dodson, Hank",823520,Right,DIX_STE,Undefined,1,Top,2,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.40768,-0.624345,-0.994252,2135.698382,115.136613,9:45,6.62243,1.35498,5.47157,-43.14644,2.8226,-3.07122,2.44253,0.16852,72.45688,-8.487824,-1.542089,0.487982,,,,,,,,,,,,1.28618,2.00906,-1.26545,50,6.53805,2.0953,-113.89608,-2.67534,1.69561,20.21293,-29.52546,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,b33f0760-ea11-11ee-a856-532492b4c49a,77.2414,,,5.95081,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:06:50.97,2024-03-24T12:06:50.9779076-07:00,2024-03-24T19:06:50.9779076Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,1588645a-8c17-40d1-8d46-5ca2e8d096fd,55.0272,-114.78478,10.10646,6.62714,-1.3772,-14.76273,-1.35594,2.02075,0.84781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2024-03-24,12:07:08.32,4,4,"Woodward, Jarek",1000100491,Right,SEA_RED,"Dodson, Hank",823520,Right,DIX_STE,Undefined,1,Top,2,1,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.26917,-3.602216,-1.235734,2293.986848,188.499331,12:15,6.67507,1.21369,5.33279,-37.66419,4.69276,0.4987,0.15145,0.09567,75.90558,-10.414237,-1.146883,0.468418,,,,,,,,,,,,-0.60543,3.72988,-1.10248,50,6.32207,2.55119,-119.19458,-8.8192,-0.86901,23.39898,-26.82032,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,bd9423d0-ea11-11ee-a856-532492b4c49a,80.46749,,,6.36359,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:07:08.32,2024-03-24T12:07:08.3292292-07:00,2024-03-24T19:07:08.3292292Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,1e67cd54-4011-4712-9cc3-32bca0842f0b,55.16678,-120.20459,11.69949,6.67776,-7.66151,-13.41016,-1.21342,2.5887,-0.4345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2024-03-24,12:07:44.20,4,5,"Woodward, Jarek",1000100491,Right,SEA_RED,"Dodson, Hank",823520,Right,DIX_STE,Undefined,1,Top,2,2,2,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,1,,81.3948,-1.554302,-1.262638,2137.540149,146.063737,10:45,6.69974,1.21326,5.85401,-37.19904,5.1274,-2.5387,2.15497,-0.17164,74.76347,-8.401881,-1.718705,0.468249,98.60947,21.978606,-24.17147,1925.972249,98.02064,36.05087,-49.91943,316.52577,296.97277,-32.764512,3.4388,0.94791,3.43744,-1.10919,50,6.55159,2.70041,-118.1924,-4.39296,1.33609,23.27863,-27.32897,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,d2f2b890-ea11-11ee-a856-532492b4c49a,80.49651,43.09303,,6.63133,,,,2.72456,2.37602,0.11663,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:07:44.20,2024-03-24T12:07:44.2070148-07:00,2024-03-24T19:07:44.2070148Z,LineDrive,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,5b72ac0c-caa5-4163-b85e-6c8688c6c3b1,54.64504,-119.10376,11.63931,6.70263,-3.32304,-13.66449,-1.21388,2.6481,0.66804,117.274178,2.7241,122.37485,-24.09656,6.21191,-1.79532,0.57353,-0.16615,0.0295,-0.00219,2.37639,54.11485,-20.25428,1.5718,0.09328,-0.19718,0.08188,-0.01541,0.00108,0.11697,-54.92864,-1.47657,2.23758,-0.6909,0.07841,0.01855,-0.0075,0.00076,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
16,2024-03-24,12:08:29.59,5,1,"Woodward, Jarek",1000100491,Right,SEA_RED,"Borgogno, Blake",823450,Left,DIX_STE,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.95592,-2.746009,-2.481476,2263.573327,226.22059,1:30,6.57653,1.41962,6.02837,-21.64352,13.03934,12.36245,2.22553,0.15033,81.80872,-6.815902,-0.257349,0.423866,,,,,,,,,,,,-7.08036,7.88796,-1.23207,50,6.34989,5.12504,-130.37202,-6.93753,-12.09251,29.37344,-18.70224,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,edfbf480-ea11-11ee-a856-532492b4c49a,88.92531,,,8.14719,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:08:29.59,2024-03-24T12:08:29.5970948-07:00,2024-03-24T19:08:29.5970948Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,b99e4acf-cb7c-4fac-95a3-445298e0ffde,54.46805,-131.37483,14.68672,6.57584,-6.29903,-9.35112,-1.41408,5.53788,-6.04625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,2024-03-24,12:08:43.73,5,2,"Woodward, Jarek",1000100491,Right,SEA_RED,"Borgogno, Blake",823450,Left,DIX_STE,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.08058,-3.17156,-3.263576,2264.399062,205.210684,12:45,6.5801,1.29555,6.10226,-14.54292,20.10037,8.88233,2.42737,-0.98567,81.56833,-5.983355,-1.666664,0.423625,,,,,,,,,,,,-5.55922,11.68296,-1.04889,50,6.32794,7.05827,-130.38348,-7.6035,-9.47454,29.95916,-12.26291,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,f666f430-ea11-11ee-a856-532492b4c49a,88.97606,,,8.51225,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:08:43.73,2024-03-24T12:08:43.7356164-07:00,2024-03-24T19:08:43.7356164Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,cf3bbf2b-ef6c-4082-a30b-80b2a2dcf9ce,54.39326,-131.38907,14.97958,6.57625,-7.19189,-6.13146,-1.29115,7.37629,-4.73727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
18,2024-03-24,12:08:59.23,5,3,"Woodward, Jarek",1000100491,Right,SEA_RED,"Borgogno, Blake",823450,Left,DIX_STE,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.79605,-2.344878,-0.793323,1600.473066,207.207104,1:00,6.68989,1.32514,5.40274,-30.6621,12.06568,5.47445,1.93611,1.03795,74.88917,-7.985713,0.181695,0.470464,,,,,,,,,,,,-2.97791,7.17343,-1.25841,50,6.45972,1.41648,-118.58958,-5.87457,-4.226,23.41696,-21.99415,SEA_RED,DIX_STE,SeattleUniversity,D1,WAC,20240324-SeattleUniversity-1,ffa8cbe0-ea11-11ee-a856-532492b4c49a,80.11752,,,6.90688,,,,,,,d69df35f-b0dc-4ce2-859c-386054593fe3,2024-03-24,19:08:59.23,2024-03-24T12:08:59.2355972-07:00,2024-03-24T19:08:59.2355972Z,,v3,4504,526275,,"Wagoner, Jake",10108574,Right,SEA_RED,e33d3bcc-bc8e-4096-b875-056dfde16f4a,55.09346,-119.59111,11.70848,6.69086,-4.93389,-10.99708,-1.32286,1.59723,-2.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
